node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type
10099889,COLMA FINANCE LIMITED,COLMA FINANCE LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,556875,17-SEP-2003,03-MAY-2006,30-APR-2006,,Defaulted,Mossack Fonseca,560309,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10100117,ASHTONVILLA ENTERPRISES LTD.,ASHTONVILLA ENTERPRISES LTD.,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,557608,17-OCT-2003,23-MAR-2006,30-APR-2007,,Dissolved,Mossack Fonseca,564647,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10100193,GENESIS 2001 LIMITED,GENESIS 2001 LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,547112,13-FEB-2002,,,,Active,Mossack Fonseca,483154,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10100765,PROSPECT BRIDGE LIMITED,PROSPECT BRIDGE LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,552739,17-JAN-2000,03-SEP-2013,31-OCT-2013,,Dissolved,Mossack Fonseca,363662,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10101194,CRANMERE MARKETING LIMITED,CRANMERE MARKETING LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,549113,02-JUL-2002,03-JUN-2015,30-APR-2016,,Dissolved,Mossack Fonseca,502757,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10101693,KINAN FINANCE LIMITED,KINAN FINANCE LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,558023,12-NOV-2003,04-MAY-2015,30-APR-2015,,Defaulted,Mossack Fonseca,567526,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10101865,PARKFIELD OVERSEAS LIMITED,PARKFIELD OVERSEAS LIMITED,,BVI,British Virgin Islands,,MINERVA MIDDLE EAST JLT UNIT NO. 2102; SABA TOWER 1; PLOT NO. E3 JUMEIRAH LAKES TOWERS; P.O. BOX 24075 DUBAI UNITED ARAB EMIRATES,548055,23-APR-2002,,,,Active,Mossack Fonseca,492899,ARE,United Arab Emirates,Panama Papers,The Panama Papers data is current through 2015,,company
10102266,KAYRA LIMITED,KAYRA LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,532131,02-JUL-1999,03-JUN-2010,30-APR-2011,,Changed agent,Mossack Fonseca,331155,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10103058,LAMKIN S.A.,LAMKIN S.A.,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,553635,13-MAR-2003,02-NOV-2009,31-OCT-2009,,Defaulted,Mossack Fonseca,537434,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10103317,BROADWAY ESTATES LIMITED,BROADWAY ESTATES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,553394,28-FEB-2003,04-JUN-2007,31-OCT-2007,,Defaulted,Mossack Fonseca,535492,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
