source_id,source_type,target_id,target_type,relationship,link,status,start_date,end_date,source_leak
11011597,intermediary,10202592,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10200759,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10203385,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10200324,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10200751,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10205379,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10206129,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10200986,company,intermediary_of,intermediary of,,,,Panama Papers
11003012,intermediary,10204952,company,intermediary_of,intermediary of,,,,Panama Papers
11005663,intermediary,10206223,company,intermediary_of,intermediary of,,,,Panama Papers
11012290,intermediary,10210092,company,intermediary_of,intermediary of,,,,Panama Papers
11011597,intermediary,10211538,company,intermediary_of,intermediary of,,,,Panama Papers
